no,title,format,cat1,cat2,cat3,what,material,medium,pagelink,imglink,year,month,date,days,In h,hours
69,piano trail scribble,Experience,Projection,Audiovisual,Piano,Interactive audiovisual projection with piano.,"2 Projectors, Keyboard",Physical,https://karynnakamura.com/post/661068787479642112/piano-trail-scribble-play-to-scribble-colors,https://64.media.tumblr.com/eef523351e5d2c273fd98ea2b8c7d93a/ddd7d011ed2029dd-65/s540x810/4fbb6185efb2a207f7ca2c011c9760aa7ee0c88e.gifv,2021,August,8/7/2021,432,10368,8
70,piano wobbly strings,Experience,Projection,Audiovisual,Piano,Interactive audiovisual projection with piano.,"2 Projectors, Keyboard",Physical,https://karynnakamura.com/post/661069382085181440/piano-wobbly-strings-yeah-full-video-here,https://64.media.tumblr.com/80d78608c04ff73283492d1e9b69fc34/f52f38f6e5907357-da/s400x600/7a73b62dddb066bf62324fa618c296268bb0e564.gifv,2021,August,8/12/2021,437,10488,15
71,piano barcode,Experience,Projection,Audiovisual,Piano,Interactive audiovisual projection with piano.,"2 Projectors, Keyboard",Physical,https://karynnakamura.com/post/661069580949749760/piano-barcode-looks-most-like-a-barcode-when-you,https://64.media.tumblr.com/50dcbc0681ac95c72f39d80b95456468/b2f0f673ee1183a0-10/s400x600/ff64aeed899a8a92ce629f50257bab338e0000cb.gifv,2021,August,8/13/2021,438,10512,2
72,piano smoke,Experience,Projection,Audiovisual,Piano,Interactive audiovisual projection with piano.,"2 Projectors, Keyboard",Physical,https://karynnakamura.com/post/661069708145147904/piano-smoke-poof-full-video-here,https://64.media.tumblr.com/ec2f6494a2deb703780f65dd76a374b5/8399c1d6aa044005-89/s400x600/ca7746856d2758816ff7dfabf314f84dc545d937.gifv,2021,August,8/20/2021,445,10680,2
73,Helvetica Bold 17 Degrees,Experience,Installation,,Analog,Permanent Installation.,,Physical,https://karynnakamura.com/post/671413285839601664/helvetica-bold-17-degrees-east-campus-mit-i,https://64.media.tumblr.com/0d4fbfcfff25a32e2f1b31019d2db299/246e3cc6023c4770-4d/s1280x1920/1e8944b6bb22afb3c89d07fe35afc4723bc880d2.jpg,2021,September,9/1/2021,457,10968,70
74,ghosty,Experience,Projection,,Digital bodies,Interactive projection.,"2 Projectors, Kinect",Physical,https://karynnakamura.com/post/671412545543962624/ghosty-full-video-below,https://64.media.tumblr.com/3a5c79b09cd792bf44c786dfa1ee4c78/ebab85ec6cff4263-ee/s540x810/7da42d0d8b0d772146999f76a732c030038a2bd7.gifv,2021,September,9/6/2021,462,11088,2
75,DUEL,Experience,Projection,Audiovisual,,Interactive audiovisual projection with two pianos.,"Projector, 2 keyboards",Physical,https://karynnakamura.com/post/671413914648592384/duel-two-keyboards-emitting-flames-isnt-that,https://64.media.tumblr.com/4b884bc5b2f4277fa7eab6e3df62d3c4/31b4a6525ac87ba5-69/s540x810/6d607a683058e3dd560c93bec0a928d7c98ea33d.gifv,2021,September,9/13/2021,473,11352,8
76,sculpture project 2,Video,Projection,,"Digital bodies, Performance","Interactive projection with live physics, paper sculpture, and performance.","2 Projectors, Kinect, Paper",Digital,https://karynnakamura.com/post/671415769240895488/sculpture-project-2-i-dropped-myself-onto-myself,https://64.media.tumblr.com/f1ca4e273842f56401fa7a405e5ec0bc/c9b00e818e105d84-20/s1280x1920/d6a57d8c0634df199b8bc11d061766f847df6d97.png,2021,September,9/17/2021,477,11448,6
77,MAPP MONTREAL 2021,Experience,Projection,Audiovisual,,Interactive audiovisual projection with two piano keyboards.,"2 Keyboards, 4 Projectors",Physical,https://karynnakamura.com/post/665483666273779713/mapp-mtl-2021-montreal-canada-923-252021,https://64.media.tumblr.com/5ab2718bf2a50b0eb49a3e3bbb5665bf/a0c5bd5a3a775135-5a/s1280x1920/c571c76a21f532a2a481b0af18f6491db30e0c33.jpg,2021,September,9/23/2021,483,11592,30
78,"Me, Anna, and 3D printer",Video,Audiovisual,,"Man vs. Machine, Speech","Audiovisual program, pen plotter drawing, and audiovisual video.",Plotter drawing,Physical,https://karynnakamura.com/post/671438682734149632/me-anna-and-3d-printer-this-is-a,https://64.media.tumblr.com/91c2dbe99b2325a975cf5e792089c0ac/ebe1a3de2f27d218-a3/s1280x1920/d542a81caad4c5eac980c6e37963c283e35c7800.jpg,2021,October,10/1/2021,491,11784,6
